0.1184,0.393954,0.255849
0.1078,0.400134,0.27289
0.0994,0.412666,0.292635
0.0889,0.435458,0.310662
0.0779,0.438914,0.335436
0.0714,0.446661,0.35954
0.0636,0.465132,0.380028
0.0541,0.466794,0.409356
0.0457,0.46856,0.432487
0.0357,0.486641,0.464871
0.024,0.479941,0.497421
hello
0.09,0.219471,0.0673887
0.0822,0.225417,0.0734248
0.0734,0.233012,0.0794508
0.0608,0.246046,0.0890445
0.0454,0.260817,0.0977429
0.0384,0.26898,0.10349
0.0308,0.284115,0.110593
0.0228,0.28309,0.117625
0.0183,0.290489,0.123814
0.011,0.303724,0.134236
0.0009,0.30711,0.143208
hello
0.1637,0.271146,0.29101
0.1536,0.277541,0.317084
0.145,0.270829,0.339104
0.1432,0.250401,0.373418
0.1411,0.263188,0.391377
0.1287,0.283391,0.409629
0.1252,0.262721,0.441046
0.1185,0.273884,0.464246
0.1139,0.295519,0.506804
0.1106,0.292697,0.530574
0.109,0.297068,0.574759
hello
0.078,0.211712,0.0324428
0.068,0.207512,0.0346315
0.066,0.228545,0.036314
0.046,0.269385,0.0450981
0.034,0.279358,0.051026
0.023,0.283628,0.0595746
0.022,0.285115,0.0634939
0.022,0.288147,0.0637654
0.02,0.31067,0.0673144
0.009,0.322949,0.074227
0.001,0.325804,0.07432
hello
0.106,0.0671964,0.00572927
0.102,0.0739904,0.00669318
0.083,0.074879,0.00785993
0.074,0.0742616,0.0086336
0.061,0.0805882,0.00967493
0.057,0.0960624,0.012777
0.048,0.0993526,0.0136757
0.038,0.102451,0.0143563
0.037,0.105713,0.0150163
0.019,0.112955,0.0172946
0.01,0.119264,0.0179183
hello
0.095,0.301702,0.0715023
0.085,0.305474,0.0779248
0.084,0.309477,0.0803724
0.073,0.342759,0.0828231
0.063,0.342736,0.0935012
0.051,0.363882,0.116176
0.04,0.378154,0.126347
0.021,0.39981,0.133317
0.02,0.397584,0.145651
0.011,0.403568,0.149055
0.001,0.397875,0.163582
hello
0.112,0.20736,0.0545908
0.102,0.229056,0.060748
0.0925,0.228163,0.064085
0.074,0.232578,0.0720611
0.064,0.243359,0.0780717
0.05,0.254197,0.0827079
0.0315,0.262975,0.0899579
0.025,0.279299,0.105118
0.0195,0.291148,0.108181
0.0045,0.309181,0.121364
0,0.299268,0.127983
hello
0.0955,0.111615,0.0118981
0.09,0.115274,0.013101
0.08,0.119365,0.0138368
0.0655,0.123205,0.0163889
0.0595,0.127618,0.0171387
0.059,0.130231,0.0174663
0.053,0.133969,0.0186224
0.038,0.139899,0.0221319
0.0245,0.143137,0.0243997
0.0145,0.14977,0.0255445
0.001,0.153534,0.0266994
hello
0.0845,0.331734,0.123496
0.07,0.344824,0.135731
0.06,0.375813,0.148952
0.0585,0.390271,0.161802
0.052,0.400765,0.185957
0.0325,0.430519,0.206433
0.0265,0.443686,0.218589
0.021,0.453848,0.24101
0.007,0.484245,0.260288
0.007,0.490183,0.275776
0.0015,0.504007,0.309214
hello
0.1072,0.392368,0.181067
0.0872,0.424913,0.202919
0.0744,0.442991,0.218704
0.072,0.442212,0.228926
0.0664,0.450685,0.239516
0.058,0.47558,0.255842
0.05,0.473748,0.26934
0.0402,0.485963,0.284849
0.0308,0.496108,0.315019
0.021,0.501775,0.342768
0.0068,0.517454,0.380205
hello
0.1034,0.149383,0.0335913
0.0974,0.152498,0.0349828
0.0748,0.163433,0.0396972
0.0648,0.169071,0.0431795
0.0502,0.18711,0.0491996
0.0406,0.193439,0.0534366
0.0336,0.197238,0.0577169
0.0274,0.200658,0.0605264
0.0178,0.202775,0.0628011
0.0102,0.210117,0.0673506
0.0008,0.213887,0.0717225
hello
0.1388,0.355249,0.245152
0.1284,0.374198,0.258186
0.1186,0.379897,0.287282
0.108,0.394561,0.303877
0.0976,0.394,0.331693
0.0946,0.392536,0.352997
0.0854,0.388566,0.373622
0.0804,0.416696,0.413596
0.0696,0.41216,0.444669
0.0712,0.39528,0.475847
0.0664,0.395514,0.489232
hello
